headline,source,fetched_at,cleaned_headline
Hodgkinson beaten by Werro despite personal best in Diamond League,BBC News,2026-06-07 19:29:35,hodgkinson beaten werro despite personal best diamond league
Biles reveals health scare after 'almost dying',BBC News,2026-06-07 19:29:35,biles reveals health scare almost dying
Are Portugal better without Ronaldo?,BBC News,2026-06-07 19:29:35,portugal better without ronaldo
"Born in Leeds, crafted in Norway: How Haaland became nation's superstar",BBC News,2026-06-07 19:29:35,born leeds crafted norway haaland became nations superstar
"100 days of the Iran war: How global markets and the economy have been affected, in charts",CNBC,2026-06-07 19:29:35,days iran war global markets economy affected charts
Inflation inside the electronics you buy may soon become a bit more sticky,CNBC,2026-06-07 19:29:35,inflation inside electronics buy soon become bit sticky
Harry's and Coterie owner Mammoth Brands has ambitions to be the next CPG giant,CNBC,2026-06-07 19:29:35,harrys coterie owner mammoth brands ambitions next cpg giant
Global week ahead: Soccer isn't the only thing that's kicking off,CNBC,2026-06-07 19:29:35,global week ahead soccer isnt only thing thats kicking off
Top Wall Street analysts recommend these 3 dividend stocks for solid returns,CNBC,2026-06-07 19:29:35,top wall street analysts recommend these dividend stocks solid returns
"Chinese EVs may hit U.S. within a few years, one way or another",CNBC,2026-06-07 19:29:35,chinese evs hit within few years way another
Women often outlive men. Here's how they should approach their long-term care needs,CNBC,2026-06-07 19:29:35,women often outlive men heres approach longterm care needs
"Remote work career risks for Gen Z are 'subtle, but material,' Harvard professor says: How to avoid the pitfalls",CNBC,2026-06-07 19:29:35,remote work career risks gen z subtle material harvard professor avoid pitfalls
Warren Buffett disciple Guy Spier built career on value investing. A rare cancer changed everything,CNBC,2026-06-07 19:29:35,warren buffett disciple guy spier built career value investing rare cancer changed everything
"U.S. confirms second Texas screwworm case, Canada restricts livestock imports",CNBC,2026-06-07 19:29:35,confirms second texas screwworm case canada restricts livestock imports
"Bitcoin is cratering, but a new Wall Street crypto hype is on the rise",CNBC,2026-06-07 19:29:35,bitcoin cratering wall street crypto hype rise
"Abel goes his own way with new Berkshire investments, including billions for AI",CNBC,2026-06-07 19:29:35,abel goes own way berkshire investments including billions ai
Here are the 6 big things we're watching in the stock market this week,CNBC,2026-06-07 19:29:35,here big things watching stock market week
How ‘Backrooms’ producer Peter Chernin thinks Hollywood needs to change,CNBC,2026-06-07 19:29:35,‘backrooms’ producer peter chernin thinks hollywood needs change
Wall Street's 'fear gauge' punches back as the 'crash up' in chip stocks finally reverses,CNBC,2026-06-07 19:29:35,wall streets fear gauge punches back crash chip stocks finally reverses
"Social media bans on teens risk strengthening Big Tech's grip on the sector, Bluesky exec warns",CNBC,2026-06-07 19:29:35,social media bans teens risk strengthening big techs grip sector bluesky exec warns
Google to pay SpaceX $920 million a month for compute capacity at xAI data centers,CNBC,2026-06-07 19:29:35,google pay spacex million month compute capacity xai data centers
Amazon unveils latest warehouse robot as tech giants continue AI layoffs,CNBC,2026-06-07 19:29:35,amazon unveils latest warehouse robot tech giants continue ai layoffs
AstraZeneca CEO says AI is reshaping drug development — and helping boost the odds of success,CNBC,2026-06-07 19:29:35,astrazeneca ceo ai reshaping drug development — helping boost odds success
"Marvell Technology and Flex to join S&P 500 index, replacing Pool and Campbell's",CNBC,2026-06-07 19:29:35,marvell technology flex join sp index replacing pool campbells
Mythos rejuvenated the cybersecurity sector. Earnings put the recent rally to the test,CNBC,2026-06-07 19:29:35,mythos rejuvenated cybersecurity sector earnings put recent rally test
Inside the $850 million Obama Presidential Center ahead of its Juneteenth opening,CNBC,2026-06-07 19:29:35,inside million obama presidential center ahead juneteenth opening
Iran's threats against this Red Sea choke point are a big vulnerability for the oil market,CNBC,2026-06-07 19:29:35,irans threats against red sea choke point big vulnerability oil market
Crypto mutiny on Strategy: Shorts target 'MSTR' in bitcoin bloodbath,CNBC,2026-06-07 19:29:35,crypto mutiny strategy shorts target mstr bitcoin bloodbath
Trump wants Bill Pulte to fire big chunk of national intelligence office staff: WSJ,CNBC,2026-06-07 19:29:35,trump wants bill pulte fire big chunk national intelligence office staff wsj
"Trump administration, OpenAI discussing possible government stake in the AI startup",CNBC,2026-06-07 19:29:35,trump administration openai discussing possible government stake ai startup
Hot jobs report puts Fed cuts further out of reach as Chair Warsh faces policy tests,CNBC,2026-06-07 19:29:35,hot jobs report puts fed cuts further reach chair warsh faces policy tests
Alphabet is seeking fresh capital as stock's 4-week losing streak tests investor appetite,CNBC,2026-06-07 19:29:35,alphabet seeking fresh capital stocks week losing streak tests investor appetite
Prediction market firms face growing scrutiny as Congress weighs regulation,CNBC,2026-06-07 19:29:35,prediction market firms face growing scrutiny congress weighs regulation
Apple's WWDC: Tim Cook's AI legacy at stake in his final developer conference as CEO,CNBC,2026-06-07 19:29:35,apples wwdc tim cooks ai legacy stake final developer conference ceo
Nigerian forces rescue 360 captives from Boko Haram,Al Jazeera,2026-06-07 19:29:35,nigerian forces rescue captives boko haram
Trump says will not unfreeze Iranian assets before ceasefire deal reached,Al Jazeera,2026-06-07 19:29:35,trump unfreeze iranian assets ceasefire deal reached
Police say two suspects have been shot and killed in Israel gun attack,Al Jazeera,2026-06-07 19:29:35,police suspects shot killed israel gun attack
Al Jazeera reports from Beirut after Israeli attack,Al Jazeera,2026-06-07 19:29:35,al jazeera reports beirut israeli attack
People flood Madrid streets to see Pope Leo’s flower-carpeted procession,Al Jazeera,2026-06-07 19:29:35,people flood madrid streets see pope leo’s flowercarpeted procession
Authenticity is what American voters want,Al Jazeera,2026-06-07 19:29:35,authenticity american voters want
Kimi Antonelli wins delayed Monaco Grand Prix to extend F1 lead,Al Jazeera,2026-06-07 19:29:35,kimi antonelli wins delayed monaco grand prix extend f lead
"Ronaldo, other ageing stars push limits to make history at World Cup 2026",Al Jazeera,2026-06-07 19:29:35,ronaldo other ageing stars push limits make history world cup
From online class to Revolution Square: A Tehran teacher’s routine amid war,Al Jazeera,2026-06-07 19:29:35,online class revolution square tehran teacher’s routine war
Iran’s World Cup squad lands in Mexico amid US visa row,Al Jazeera,2026-06-07 19:29:35,iran’s world cup squad lands mexico visa row
Iran’s World Cup team arrives in Mexico as US visa row continues,Al Jazeera,2026-06-07 19:29:35,iran’s world cup team arrives mexico visa row continues
Does Israel really think it can get rid of Hezbollah in Lebanon?,Al Jazeera,2026-06-07 19:29:35,israel really think rid hezbollah lebanon
The Taiz transplant team looking to begin a medical revolution in Yemen,Al Jazeera,2026-06-07 19:29:35,taiz transplant team looking begin medical revolution yemen
"Peru polls open in Keiko Fujimori, Roberto Sanchez presidential run-off",Al Jazeera,2026-06-07 19:29:35,peru polls open keiko fujimori roberto sanchez presidential runoff
Army frees 360 people abducted by Boko Haram in Nigeria’s Borno State,Al Jazeera,2026-06-07 19:29:35,army frees people abducted boko haram nigeria’s borno state
Israel kills nine in Gaza as Egypt hosts renewed ‘ceasefire’ talks,Al Jazeera,2026-06-07 19:29:35,israel kills nine gaza egypt hosts renewed ‘ceasefire’ talks
Fifty-two hours on an Israeli prison ship,Al Jazeera,2026-06-07 19:29:35,fiftytwo hours israeli prison ship
Missiles and negotiations: Iran 100 days into the war with US and Israel,Al Jazeera,2026-06-07 19:29:35,missiles negotiations iran days war israel
Marc Marquez hits 100 career wins with Hungarian MotoGP victory,Al Jazeera,2026-06-07 19:29:35,marc marquez hits career wins hungarian motogp victory
Israel strikes southern suburbs of Lebanon’s capital Beirut,Al Jazeera,2026-06-07 19:29:35,israel strikes southern suburbs lebanon’s capital beirut
Why has the Pentagon raised the risk of Israeli spying to the highest level?,Al Jazeera,2026-06-07 19:29:35,pentagon raised risk israeli spying highest level
Pope Leo urges youth to be ‘sparks of a new humanity’,Al Jazeera,2026-06-07 19:29:35,pope leo urges youth ‘sparks humanity’
‘Fear mongering is the main narrative’ in Armenia’s elections,Al Jazeera,2026-06-07 19:29:35,‘fear mongering main narrative’ armenia’s elections
‘What ceasefire?’ Palestinians inspect destruction after Israeli strike,Al Jazeera,2026-06-07 19:29:35,‘what ceasefire’ palestinians inspect destruction israeli strike
"100 days into Iran war, Americans face higher prices",Al Jazeera,2026-06-07 19:29:35,days iran war americans face higher prices
Vitamin D3 During Pregnancy and Cognitive Performance at 10 Years,Hacker News,2026-06-07 19:29:36,vitamin d during pregnancy cognitive performance years
Cloning a Sennheiser BA2015 battery pack,Hacker News,2026-06-07 19:29:37,cloning sennheiser ba battery pack
LLMs are eroding my software engineering career and I don't know what to do,Hacker News,2026-06-07 19:29:38,llms eroding software engineering career dont know
The 29th International Obfuscated C Code Contest (IOCCC) 2025 Winners,Hacker News,2026-06-07 19:29:38,th international obfuscated c code contest ioccc winners
"Show HN: Lathe – Use LLMs to learn a new domain, not skip past it",Hacker News,2026-06-07 19:29:39,show hn lathe – use llms learn domain skip past
"Anthropic, please ship an official Claude Desktop for Linux",Hacker News,2026-06-07 19:29:39,anthropic please ship official claude desktop linux
Proliferate (YC S25) is hiring to building open source Codex,Hacker News,2026-06-07 19:29:40,proliferate yc hiring building open source codex
Win16 Memory Management,Hacker News,2026-06-07 19:29:41,win memory management
Yon – a topos-oriented language with a content-addressed lattice heap,Hacker News,2026-06-07 19:29:41,yon – toposoriented language contentaddressed lattice heap
Show HN: Kyushu – A self-hostable WASM sandbox for JavaScript workers,Hacker News,2026-06-07 19:29:42,show hn kyushu – selfhostable wasm sandbox javascript workers
The gamers taking on the industry to stop it switching off games,Hacker News,2026-06-07 19:29:42,gamers taking industry stop switching off games
Podman 6: machine usability improvements,Hacker News,2026-06-07 19:29:43,podman machine usability improvements
Speculative KV coding: losslessly compressing KV cache by up to ~4×,Hacker News,2026-06-07 19:29:44,speculative kv coding losslessly compressing kv cache ×
The Secret Life of Circuits with lcamtuf / Michał Zalewski (Audio Interview),Hacker News,2026-06-07 19:29:44,secret life circuits lcamtuf michał zalewski audio interview
My Software North Star,Hacker News,2026-06-07 19:29:45,software north star
How Long Does It Take for a QQuickItem to Become Visible?,Hacker News,2026-06-07 19:29:45,long take qquickitem become visible
Ntsc-rs – open-source video emulation of analog TV and VHS artifacts,Hacker News,2026-06-07 19:29:46,ntscrs – opensource video emulation analog tv vhs artifacts
Public Domain Image Archive,Hacker News,2026-06-07 19:29:46,public domain image archive
The best relationships are all-encompassing.,Hacker News,2026-06-07 19:29:47,best relationships allencompassing
Field of clones: How horse replicas came to dominate polo,Hacker News,2026-06-07 19:29:48,field clones horse replicas came dominate polo
Valve P2P networking broken for more than 2 months,Hacker News,2026-06-07 19:29:48,valve pp networking broken months
Symbolica 2.0: Programmable Symbols for Python and Rust,Hacker News,2026-06-07 19:29:49,symbolica programmable symbols python rust
Tokenomics: Quantifying Where Tokens Are Used in Agentic Software Engineering,Hacker News,2026-06-07 19:29:49,tokenomics quantifying tokens used agentic software engineering
Warren's Abstract Machine: A Tutorial Reconstruction,Hacker News,2026-06-07 19:29:50,warrens abstract machine tutorial reconstruction
Backrest – a web UI and orchestrator for restic backup,Hacker News,2026-06-07 19:29:50,backrest – web ui orchestrator restic backup
